susp/con ZIKV cases,,Caribbean,Anguilla,Antigua-Barbuda,Aruba,Bahamas,Barbados,British Virgin Islands,Cayman Islands,Cuba,Curacao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Puerto Rico,St. Barthelemy,St. Lucia,St. Vincent/Grenadines,St. Martin/St. Marteen,St. Kitts/Nevis,Trinidad/Tobago,Turks/Caicos,US Virgin Islands,St. Thomas,St. Croix,St. John,**represented collectively as USVI
year,date,epi week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-Dec,51,1,0,0,2,1,0,3,0,74,0,0,0,37,,4,0,296,10,,,24,0,0,1,26,7,14,5,
,25-Dec,52,1,0,2,0,1,0,1,0,63,0,8,1,0,,9,0,187,6,,,28,0,0,1,20,10,8,2,
2017,1-Jan,1,4,0,20,1,5,0,1,0,58,0,0,0,0,,12,4,170,3,,,13,0,1,2,17,9,6,2,
,8-Jan,2,1,0,18,3,0,0,0,0,80,0,0,0,6,,9,15,145,0,,,14,0,0,0,14,6,6,2,
,15-Jan,3,1,0,17,2,2,0,1,0,47,0,2,0,6,,13,6,123,0,,,11,0,0,0,12,6,5,1,
,22-Jan,4,1,0,9,3,1,0,3,0,48,0,2,0,4,,13,5,90,7,,,13,0,0,5,9,4,3,2,
,29-Jan,5,2,0,33,3,2,0,0,0,34,0,0,1,0,,13,7,86,2,,,8,0,0,1,9,5,2,2,
,5-Feb,6,0,0,76,2,2,0,1,0,25,0,3,0,0,,9,4,86,1,,,10,0,0,0,10,5,3,2,
,12-Feb,7,0,0,74,1,1,0,1,0,25,0,0,4,0,,14,0,86,0,,,10,0,0,6,7,2,3,2,
,19-Feb,8,0,0,58,2,2,0,2,0,17,0,3,0,0,,8,0,76,0,,,14,0,0,4,8,2,4,2,
,26-Feb,9,0,0,73,5,3,0,0,0,16,0,0,0,5,,10,0,81,1,,,9,0,0,1,7,2,4,1,
,5-Mar,10,1,0,52,6,1,0,2,0,14,0,0,1,0,,11,6,101,0,,,10,0,0,0,7,3,3,1,
,12-Mar,11,0,0,55,4,1,0,2,0,15,0,3,2,0,,10,0,99,0,,,4,0,0,2,8,3,4,1,
,19-Mar,12,0,0,50,7,1,0,0,0,15,0,2,0,0,,8,0,81,0,,,5,1,0,0,10,3,6,1,
,26-Mar,13,1,0,39,5,4,0,0,0,10,0,0,0,5,,6,0,68,1,,,4,0,0,3,10,1,8,1,
,2-Apr,14,0,0,33,4,0,0,1,0,7,0,0,0,0,,9,5,68,0,,,0,0,0,1,6,1,5,0,
,9-Apr,15,0,0,21,5,0,0,0,0,6,0,0,0,0,,12,0,50,0,,,0,0,0,0,8,2,6,0,
,16-Apr,16,0,0,11,4,1,0,3,0,8,0,0,0,0,,7,0,68,0,,,2,3,0,0,6,2,4,0,
,23-Apr,17,0,0,4,7,0,0,0,0,8,0,0,0,0,,7,0,65,0,,,0,,0,0,6,3,3,0,
,30-Apr,18,0,0,2,3,2,0,1,0,6,0,0,0,0,,11,0,50,0,,,3,,0,1,5,0,5,0,
,7-May,19,0,0,8,2,1,0,0,0,6,0,0,0,0,,8,0,50,0,,,3,,0,0,3,1,2,0,
,14-May,20,0,0,2,3,0,0,0,0,6,0,0,0,6,,16,10,50,0,,,0,,0,0,6,2,4,0,
,21-May,21,1,2,4,1,0,0,1,0,8,0,0,,0,,7,0,50,0,,,3,,0,2,3,2,1,0,
,28-May,22,1,0,11,1,0,,0,0,6,0,0,,0,,13,0,50,0,,,,,0,0,4,3,1,0,
,4-Jun,23,0,0,1,4,0,,0,0,,0,3,,0,,11,6,36,0,,,,,0,0,6,1,3,2,
,11-Jun,24,0,0,0,0,0,,0,0,,0,2,,0,,7,6,38,0,,,,,0,0,6,2,3,1,
,18-Jun,25,0,0,0,1,0,,0,0,,0,0,,0,,7,0,32,0,,,,,0,0,4,1,2,1,
,25-Jun,26,0,0,0,4,0,,1,0,,0,3,,0,,4,0,29,0,,,,,0,0,2,0,2,0,
,2-Jul,27,0,1,,3,0,,1,0,,0,2,,0,,4,0,31,0,,,,,0,0,1,0,1,0,
,9-Jul,28,0,,,4,0,,0,0,,0,0,,0,,5,0,28,0,,,,,0,0,1,0,1,0,
,16-Jul,29,0,,,0,0,,0,0,,0,0,,0,,2,0,24,0,,,,,0,0,1,0,1,0,
,23-Jul,30,1,,,1,0,,0,0,,0,0,,0,,4,0,34,,,,,,0,0,1,0,1,0,
,30-Jul,31,0,,,,0,,0,0,,0,,,,,,,34,,,,,,0,0,2,1,1,0,
,6-Aug,32,0,,,,0,,0,0,,0,,,,,,,31,,,,,,0,0,0,0,0,0,
,13-Aug,33,,,,,0,,,0,,,,,,,,,34,,,,,,0,0,,,,,
,20-Aug,34,,,,,0,,,0,,,,,,,,,34,,,,,,,,,,,,
,27-Aug,35,,,,,0,,,0,,,,,,,,,18,,,,,,,,,,,,
,3-Sep,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
